	Date	CV
0	2017-04-09	13.0
1	2017-04-10	24.0
2	2017-04-11	8.0
3	2017-04-12	24.0
4	2017-04-13	7.0
5	2017-04-14	35.0
6	2017-04-15	14.0
7	2017-04-16	11.0
8	2017-04-17	15.0
9	2017-04-18	11.0
10	2017-04-19	22.0
11	2017-04-20	22.0
12	2017-04-21	11.0
13	2017-04-22	57.0
14	2017-04-23	11.0
15	2017-04-24	19.0
16	2017-04-25	29.0
17	2017-04-26	6.0
18	2017-04-27	19.0
19	2017-04-28	12.0
20	2017-04-29	22.0
21	2017-04-30	12.0
22	2017-05-01	18.0
23	2017-05-02	72.0
24	2017-05-03	32.0
25	2017-05-04	9.0
26	2017-05-05	7.0
27	2017-05-06	13.0
28	2017-05-07	19.0
29	2017-05-08	23.0
30	2017-05-09	27.0
31	2017-05-10	20.0
32	2017-05-11	6.0
33	2017-05-12	17.0
34	2017-05-13	13.0
35	2017-05-14	10.0
36	2017-05-15	14.0
37	2017-05-16	6.0
38	2017-05-17	16.0
39	2017-05-18	15.0
40	2017-05-19	7.0
41	2017-05-20	2.0
42	2017-05-21	15.0
43	2017-05-22	15.0
44	2017-05-23	19.0
45	2017-05-24	70.0
46	2017-05-25	49.0
47	2017-05-26	7.0
48	2017-05-27	53.0
49	2017-05-28	22.0
50	2017-05-29	21.0
51	2017-05-30	31.0
52	2017-05-31	19.0
53	2017-06-01	11.0
54	2017-06-02	18.0
55	2017-06-03	20.0
56	2017-06-04	12.0
57	2017-06-05	35.0
58	2017-06-06	17.0
59	2017-06-07	23.0
60	2017-06-08	17.0
61	2017-06-09	4.0
62	2017-06-10	2.0
63	2017-06-11	31.0
64	2017-06-12	30.0
65	2017-06-13	13.0
66	2017-06-14	27.0
67	2017-06-15	0.0
68	2017-06-16	39.0
69	2017-06-17	37.0
70	2017-06-18	5.0
71	2017-06-19	14.0
72	2017-06-20	13.0
73	2017-06-21	22.0
